districtid,monthid,statemean,statestdev
238,3,134.79,134.79
238,4,273.21,273.21
238,5,1951.55,1951.55
238,6,1594.66,1594.66
239,1,0,0
239,2,110.35,110.35
239,3,409.71,409.71
239,4,1076.88,1076.88
239,5,3779,3779
239,6,3802.35,3802.35
240,1,0,0
240,2,41.16,41.16
240,3,114.76,114.76
240,4,133.26,133.26
240,5,420.24,420.24
240,6,627.71,627.71
241,1,0,0
241,2,83.62,83.62
241,3,277.52,277.52
241,4,373.19,373.19
241,5,863.14,863.14
241,6,1071.38,1071.38
242,1,0,0
242,2,8.5,8.5
242,3,217.5,217.5
242,4,478.28,478.28
242,5,2983.61,2983.61
242,6,4514.61,4514.61
243,1,0,0
243,2,1.5,1.5
243,3,129.88,129.88
243,4,143.62,143.62
243,5,655.75,655.75
243,6,1188.88,1188.88
244,1,0,0
244,2,0,0
244,3,0,0
244,4,0,0
244,5,0,0
244,6,0,0
245,1,0,0
245,2,14.36,14.36
245,3,96.95,96.95
245,4,368.27,368.27
245,5,1370.41,1370.41
245,6,2491.59,2491.59
246,1,0,0
246,2,4.43,4.43
246,3,67.71,67.71
246,4,90.71,90.71
246,5,684.76,684.76
246,6,1306.52,1306.52
247,1,0,0
247,2,23.88,23.88
247,3,119.38,119.38
247,4,359.6,359.6
247,5,1413.06,1413.06
247,6,1908.92,1908.92
248,1,0,0
248,2,58,58
248,3,171.05,171.05
248,4,503.19,503.19
248,5,1032.86,1032.86
248,6,1008.33,1008.33
249,1,0,0
249,2,41.38,41.38
249,3,115.27,115.27
249,4,134,134
249,5,425.08,425.08
249,6,636.68,636.68
250,1,0,0
250,2,0.29,0.29
250,3,107,107
250,4,149.14,149.14
250,5,560.57,560.57
250,6,1052.14,1052.14
251,1,0,0
251,2,1.22,1.22
251,3,55.39,55.39
251,4,110.11,110.11
251,5,406.72,406.72
251,6,1375.56,1375.56
252,1,0,0
252,2,4.55,4.55
252,3,65.6,65.6
252,4,86.8,86.8
252,5,675.3,675.3
252,6,1262.6,1262.6
253,1,0,0
253,2,41.06,41.06
253,3,117.28,117.28
253,4,135.94,135.94
253,5,428.19,428.19
253,6,640.17,640.17
254,1,0,0
254,2,51.86,51.86
254,3,167.93,167.93
254,4,1366.79,1366.79
254,5,3708.04,3708.04
254,6,2889.61,2889.61
255,1,0,0
255,2,8.29,8.29
255,3,226.18,226.18
255,4,447.76,447.76
255,5,2846.53,2846.53
255,6,4408.59,4408.59
256,1,0,0
256,2,15.05,15.05
256,3,99.62,99.62
256,4,383.29,383.29
256,5,1407.76,1407.76
256,6,2550.33,2550.33
257,1,0,0
257,2,86.85,86.85
257,3,287.8,287.8
257,4,354.8,354.8
257,5,872.35,872.35
257,6,1083.85,1083.85
258,1,0,0
258,2,649.81,649.81
258,3,2757.27,2757.27
258,4,5521.69,5521.69
258,5,9693.77,9693.77
258,6,11868.46,11868.46
259,1,0,0
259,2,0,0
259,3,11.7,11.7
259,4,45.2,45.2
259,5,90.7,90.7
259,6,74.4,74.4
260,1,0,0
260,2,52.63,52.63
260,3,170.93,170.93
260,4,1395.59,1395.59
260,5,3718.81,3718.81
260,6,2887.37,2887.37
261,1,0,0
261,2,42.2,42.2
261,3,119.86,119.86
261,4,139.77,139.77
261,5,439.63,439.63
261,6,654.86,654.86
262,1,0,0
262,2,0,0
262,3,0,0
262,4,0,0
262,5,0,0
262,6,0,0
263,1,0,0
263,2,16.93,16.93
263,3,180.73,180.73
263,4,274.13,274.13
263,5,776.13,776.13
263,6,809.33,809.33
264,1,0,0
264,2,4.68,4.68
264,3,68.95,68.95
264,4,90.63,90.63
264,5,701.32,701.32
264,6,1301.74,1301.74
265,1,0,0
265,2,91.05,91.05
265,3,283.37,283.37
265,4,368,368
265,5,904.63,904.63
265,6,1119.95,1119.95
266,1,0,0
266,2,0.76,0.76
266,3,56.35,56.35
266,4,107.47,107.47
266,5,373,373
266,6,1263.35,1263.35
267,1,0,0
267,2,17.43,17.43
267,3,135.14,135.14
267,4,276,276
267,5,1937.71,1937.71
267,6,1553.25,1553.25
268,1,0,0
268,2,0.1,0.1
268,3,3,3
268,4,13.2,13.2
268,5,96.6,96.6
268,6,167.3,167.3
269,1,0,0
269,2,82.1,82.1
269,3,159.2,159.2
269,4,1439.1,1439.1
269,5,14557.7,14557.7
269,6,16923.8,16923.8
270,1,0,0
270,2,0.11,0.11
270,3,3.33,3.33
270,4,14.56,14.56
270,5,105.22,105.22
270,6,181.89,181.89
271,1,0,0
271,2,0,0
271,3,1.23,1.23
271,4,9.95,9.95
271,5,74.05,74.05
271,6,101.55,101.55
272,1,0,0
272,2,0,0
272,3,2.25,2.25
272,4,2.5,2.5
272,5,33.5,33.5
272,6,70.12,70.12
273,1,0,0
273,2,0,0
273,3,0.86,0.86
273,4,10.38,10.38
273,5,70.67,70.67
273,6,98.52,98.52
274,1,0,0
274,2,4.83,4.83
274,3,60.17,60.17
274,4,71.39,71.39
274,5,602.61,602.61
274,6,1077.5,1077.5
275,1,0,0
275,2,5.33,5.33
275,3,133.83,133.83
275,4,384.33,384.33
275,5,2039.58,2039.58
275,6,3349.67,3349.67
276,1,0,0
276,2,54.65,54.65
276,3,177.42,177.42
276,4,1437.08,1437.08
276,5,3833.92,3833.92
276,6,2897.92,2897.92
277,1,0,0
277,2,24.2,24.2
277,3,120.75,120.75
277,4,364.49,364.49
277,5,1433.59,1433.59
277,6,1936.24,1936.24
278,1,0,0
278,2,24.68,24.68
278,3,121.14,121.14
278,4,366.16,366.16
278,5,1448.58,1448.58
278,6,1948.24,1948.24
279,1,0,0
279,2,21.56,21.56
279,3,245.61,245.61
279,4,528.61,528.61
279,5,830.39,830.39
279,6,1379.17,1379.17
280,1,0,0
280,2,67.56,67.56
280,3,39.11,39.11
280,4,231.56,231.56
280,5,842.61,842.61
280,6,1652.06,1652.06
281,1,0,0
281,2,25.02,25.02
281,3,122.51,122.51
281,4,369.82,369.82
281,5,1469.06,1469.06
281,6,1972.24,1972.24
282,1,0,0
282,2,22.47,22.47
282,3,256.94,256.94
282,4,554.59,554.59
282,5,859.41,859.41
282,6,1422.71,1422.71
283,1,0,0
283,2,68.35,68.35
283,3,40.41,40.41
283,4,240.88,240.88
283,5,869.76,869.76
283,6,1710.06,1710.06
284,1,0,0
284,2,25.42,25.42
284,3,123.31,123.31
284,4,375.04,375.04
284,5,1487.46,1487.46
284,6,1999.52,1999.52
285,1,0,0
285,2,70.06,70.06
285,3,42.38,42.38
285,4,252.5,252.5
285,5,906.69,906.69
285,6,1773.56,1773.56
286,1,0,0
286,2,71.87,71.87
286,3,45,45
286,4,262,262
286,5,932.07,932.07
286,6,1802.47,1802.47
287,1,0,0
287,2,23.6,23.6
287,3,122.43,122.43
287,4,379.06,379.06
287,5,1510.85,1510.85
287,6,2024.85,2024.85
288,1,0,0
288,2,8.56,8.56
288,3,237.75,237.75
288,4,459.06,459.06
288,5,2894.25,2894.25
288,6,4440.12,4440.12
289,1,0,0
289,2,675.8,675.8
289,3,2865.64,2865.64
289,4,5739.88,5739.88
289,5,10068.4,10068.4
289,6,12324.16,12324.16
290,1,0,0
290,2,15.8,15.8
290,3,100.4,100.4
290,4,376,376
290,5,1406.8,1406.8
290,6,2631.85,2631.85
291,1,0,0
291,2,17.5,17.5
291,3,191.07,191.07
291,4,283.57,283.57
291,5,793.5,793.5
291,6,800.21,800.21
292,1,0,0
292,2,55.05,55.05
292,3,164.2,164.2
292,4,506.2,506.2
292,5,1039.5,1039.5
292,6,1017.3,1017.3
293,1,0,0
293,2,96.11,96.11
293,3,298.06,298.06
293,4,385.5,385.5
293,5,937.17,937.17
293,6,1164.28,1164.28
294,1,0,0
294,2,5.58,5.58
294,3,82.11,82.11
294,4,227.05,227.05
294,5,983.42,983.42
294,6,2495.16,2495.16
295,1,0,0
295,2,3.94,3.94
295,3,59.88,59.88
295,4,72.24,72.24
295,5,606.94,606.94
295,6,1105.24,1105.24
296,1,0,0
296,2,0.81,0.81
296,3,59.25,59.25
296,4,111.75,111.75
296,5,391.62,391.62
296,6,1322.38,1322.38
297,1,0,0
297,2,21.24,21.24
297,3,111.72,111.72
297,4,331.96,331.96
297,5,1485.2,1485.2
297,6,2012.67,2012.67
298,1,0,0
298,2,18,18
298,3,135.63,135.63
298,4,276.04,276.04
298,5,1908.3,1908.3
298,6,1546.56,1546.56
299,1,0,0
299,2,19.67,19.67
299,3,104.62,104.62
299,4,282.11,282.11
299,5,1454.84,1454.84
299,6,1989.27,1989.27
300,1,0,0
300,2,20.02,20.02
300,3,103.39,103.39
300,4,283.43,283.43
300,5,1457.23,1457.23
300,6,2004.09,2004.09
301,1,0,0
301,2,57.16,57.16
301,3,171.21,171.21
301,4,528.47,528.47
301,5,1069.32,1069.32
301,6,1047.47,1047.47
302,1,0,0
302,2,3.88,3.88
302,3,60.75,60.75
302,4,72.44,72.44
302,5,586.56,586.56
