districtid,statemean,statestdev
582,3364.86,3459.7
583,3811.89,3370.18
584,1966.67,1905.42
585,2867.33,2723.2
586,2705,2728.6
587,37286,12330.89
588,3086.69,6194.09
589,1318.5,2387.91
590,3424.69,4265.07
591,3836.95,3372.08
592,2121.04,2371.85
593,102.2,183.61
594,10921.42,22656.43
595,3838.65,3371.95
596,2153.79,2144.99
597,4031.14,4633.36
598,3462.5,4261.72
599,25216.74,44301.2
600,2801.67,2750.89
601,3457.35,4263.65
602,2099.3,2380.35
603,3811.08,3370.0
604,25214,44301.67
605,1330.19,2385.96
606,2600.67,3026.41
607,1326.88,2386.82
608,1336.67,2383.57
609,103.7,182.95
610,1328.38,2386.46
611,2877.62,2715.68
612,3434.76,4266.63
613,1332.79,2385.11
614,3468.5,4258.87
615,3885.27,3355.73
616,3911.65,3335.57
617,1331.42,2385.58
618,195.8,330.13
619,599,447.45
620,13064.93,25379.73
621,1319.31,2387.87
622,2107.47,2164.22
623,3474.92,4255.12
624,194.84,330.61
625,3452.69,4265.0
626,1335.69,2383.99
627,2533.79,3046.08
628,0,0
629,2113.65,2375.28
630,25686,44133.31
631,1334.27,2384.57
632,1801.14,1422.09
633,541.45,429.7
634,2576.36,3039.37
635,3442,3439.9
636,3857.27,3368.42
637,3453.04,4264.91
638,11151.72,22629.19
639,3851.19,3370.01
640,486.18,307.99
641,25083.74,44317.05
642,3460.7,4262.45
643,3287.62,3441.51
644,7501.91,10595.85
645,287.6,546.0
646,1932.71,1383.32
647,288.9,545.37
648,290.2,544.7
649,2859,2728.66
650,38014.67,11964.06
651,1674.63,1144.7
652,4108.86,4599.99
653,1570.3,2900.56
654,3454.74,4264.45
655,3976.24,4633.27
656,3861.03,3367.24
657,1574.52,2899.04
658,2438.34,5244.09
659,3071.34,6199.2
660,1559.11,2903.74
661,3099.31,6188.94
662,2870.95,2720.65
663,188.4,331.96
664,1875.75,1955.61
665,0,0
666,21609.56,39523.05
667,11067.33,22649.23
668,10906.83,22655.23
669,10546.06,22514.72
670,5147.69,2129.7
671,11155.5,22628.02
672,10945.06,22657.62
673,6086,3892.06
674,1333.17,2384.98
675,188.16,331.94
676,11047.64,22652.23
677,10987.39,22657.48
678,11180.06,22619.84
679,10951.56,22657.79
680,2598.3,3027.97
681,400.9,604.42
682,13159.03,25362.5
683,2541.09,3046.36
684,1627.5,1805.26
685,2145.11,2150.13
686,12972.34,25386.47
687,1307.17,2386.91
688,1339.33,2382.32
689,583,451.51
690,3453.49,4264.8
691,1956.86,1365.11
692,196.48,329.75
693,193.6,331.13
694,190.28,331.9
695,1563.37,2902.67
696,7944.95,10579.45
697,13206.14,25349.93
698,1905,1945.64
699,2842.72,6126.45
700,3837.86,3372.01
701,3078.78,6196.88
702,3361.08,4213.67
703,10949.47,22657.74
704,1322.62,2387.57
705,13157.62,25362.83
706,11040.61,22653.15
707,10903.5,22654.91
708,36928.92,12303.58
709,38335.08,11612.5
710,25692.59,44129.71
711,25673.59,44140.01
712,6356.08,3692.4
713,3831.84,3372.27
714,248.2,549.09
