districtid,monthid,neighborhoodzscore,statezscore
177,3,1.65,2.7
177,4,5.91,1.63
177,5,2.7,0.4
177,6,1.63,0.5
178,1,0,0
178,2,-0.49,-0.3
178,3,-0.48,-0.32
178,4,-0.44,-0.43
178,5,-0.54,-0.53
178,6,-0.51,-0.63
179,1,0,0
179,2,-0.45,-0.42
179,3,9.11,1.83
179,4,2.2,1.74
179,5,0.03,0.25
179,6,-0.26,-0.2
180,1,0,0
180,2,-1.05,-0.46
180,3,-0.92,-0.31
180,4,-0.68,-0.07
180,5,-0.69,-0.14
180,6,-0.75,-0.22
181,1,0,0
181,2,-0.69,0.1
181,3,-0.7,-0.26
181,4,-0.6,0.03
181,5,-0.3,0.28
181,6,-0.29,0.23
182,1,0,0
182,2,-0.93,-0.43
182,3,0.2,-0.31
182,4,-0.19,-0.56
182,5,0.33,-0.04
182,6,0.97,0.14
183,1,0,0
183,2,-0.47,-0.25
183,3,-0.08,-0.1
183,4,-0.65,0.26
183,5,-1.26,-0.38
183,6,-1.25,-0.5
184,1,0,0
184,2,-0.33,-0.56
184,3,-0.56,-0.31
184,4,1.51,-0.12
184,5,-0.71,-0.69
184,6,0.02,-0.74
185,1,0,0
185,2,-0.13,0.5
185,3,-0.22,-0.39
185,4,-0.44,-0.27
185,5,-0.4,0.1
185,6,-0.46,-0.25
186,1,0,0
186,2,30.24,2.87
186,3,98.0,3.83
186,4,68.14,5.52
186,5,40.39,6.41
186,6,26.55,3.15
187,1,-0.5,0
187,2,-0.51,0.89
187,3,-0.51,0.31
187,4,-0.49,0.6
187,5,-0.59,-0.53
187,6,-0.66,-0.95
188,1,-0.5,0
188,2,-0.5,-0.42
188,3,-0.51,-1.12
188,4,-0.5,-0.63
188,5,-0.5,-0.38
188,6,-0.5,-0.35
189,1,0,0
189,2,-0.26,-0.2
189,3,-0.06,0.33
189,4,-0.54,-0.29
189,5,-0.93,-0.43
189,6,-0.95,-0.31
190,1,0,0
190,2,-0.48,-0.49
190,3,-0.53,-0.53
190,4,0.58,1.04
190,5,0.49,1.01
190,6,0.57,0.79
191,1,0,0
191,2,-0.45,-0.43
191,3,1.17,2.19
191,4,0.63,0.29
191,5,6.26,0.29
191,6,4.91,0.19
192,1,0,0
192,2,-0.49,-0.1
192,3,-0.65,-0.34
192,4,-1.18,-0.58
192,5,-0.89,-0.57
192,6,-0.85,-0.3
193,1,0,0
193,2,1.16,-0.4
193,3,3.06,-0.26
193,4,0.23,-0.56
193,5,-0.07,-0.54
193,6,0.07,-0.6
194,1,0,0
194,2,-1.0,-0.45
194,3,-2.79,-0.73
194,4,-0.71,-0.33
194,5,-1.01,-0.35
194,6,0.59,0.29
195,1,0,0
195,2,-0.49,-0.06
195,3,-0.51,-0.43
195,4,-0.6,-0.35
195,5,-1.04,-0.43
195,6,-1.13,-0.52
196,1,0,0
196,2,0.07,-0.22
196,3,-0.8,-0.63
196,4,-1.79,-0.56
196,5,-1.29,-0.59
196,6,-1.29,-0.72
197,1,0,0
197,2,-0.81,-0.53
197,3,-1.27,-0.75
197,4,-1.01,-0.39
197,5,-0.98,-0.49
197,6,-0.72,-0.3
198,1,0,0
198,2,0.12,1.14
198,3,-1.15,-0.04
198,4,-0.6,0.28
198,5,-0.21,0.29
198,6,0.15,0.4
199,1,0,0
199,2,-0.25,0.37
199,3,-0.01,0.96
199,4,-0.3,0.45
199,5,-0.59,-0.36
199,6,-0.52,-0.37
200,1,0,0
200,2,-0.95,-0.31
200,3,-0.78,-0.32
200,4,-0.49,-0.43
200,5,-0.25,-0.46
200,6,-0.33,-0.59
201,1,0,0
201,2,-1.08,-0.53
201,3,-1.1,-0.79
201,4,-0.98,-0.76
201,5,-0.6,-0.53
201,6,-0.63,-0.39
202,1,0,0
202,2,-0.12,0.16
202,3,-0.16,0.74
202,4,-0.64,-0.32
202,5,-0.81,-0.53
202,6,-0.74,-0.55
203,1,0,0
203,2,0.57,1.02
203,3,-0.66,-0.75
203,4,-0.59,-0.44
203,5,-0.09,-0.09
203,6,-0.65,-0.42
204,1,0,0
204,2,-1.03,-0.62
204,3,-0.67,-0.73
204,4,-0.63,-0.77
204,5,-0.44,-1.1
204,6,-0.56,-1.22
205,1,0,0
205,2,0.1,1.13
205,3,-0.95,-0.34
205,4,-1.04,-0.66
205,5,-0.29,-0.17
205,6,-0.35,-0.21
206,1,0,0
206,2,-0.7,-0.6
206,3,-0.49,-0.84
206,4,-0.75,-0.91
206,5,-1.23,-0.91
206,6,-0.36,-0.9
207,1,0,0
207,2,-0.85,-0.65
207,3,-0.8,-0.85
207,4,-1.31,-1.14
207,5,-1.07,-0.92
207,6,-1.01,-1.04
208,1,-0.71,0
208,2,0,0
208,3,-0.74,-0.46
208,4,-0.76,-0.72
208,5,-0.83,-0.7
208,6,-0.81,-0.66
209,1,0,0
209,2,-0.78,-0.58
209,3,-0.99,-0.72
209,4,0.02,-0.22
209,5,-0.41,-0.21
209,6,-0.48,-0.38
210,1,0,0
210,2,8.71,0
210,3,14.29,0
210,4,0.55,0
210,5,2.53,0
210,6,2.35,0
211,1,-0.45,0
211,2,-0.61,-0.31
211,3,-0.55,-0.34
211,4,-0.46,-0.45
211,5,-0.52,-0.53
211,6,-0.57,-0.55
212,1,-0.5,0
212,2,-0.5,0
212,3,-0.46,25.88
212,4,-0.49,1.52
212,5,-0.49,0.64
212,6,-0.49,0.89
213,1,0,0
213,2,-0.6,-0.58
213,3,-0.95,-0.38
213,4,-3.0,-0.56
213,5,-1.54,-0.83
213,6,-2.36,-1.58
214,1,0,0
214,2,-0.74,-0.47
214,3,-1.34,-0.53
214,4,-0.56,-0.03
214,5,-1.02,-0.46
214,6,-0.8,-0.54
215,1,0,0
215,2,29.43,43.07
215,3,59.65,98.04
215,4,45.7,35.93
215,5,21.73,11.0
215,6,16.69,10.62
216,1,0,0
216,2,-0.73,-0.26
216,3,-0.06,-0.22
216,4,-0.64,-0.41
216,5,-0.32,-0.12
216,6,-0.57,-0.33
217,1,0,0
217,2,-0.62,-0.27
217,3,-0.56,-0.29
217,4,-0.6,-0.34
217,5,-0.58,-0.39
217,6,-0.5,-0.36
218,1,0,0
218,2,-0.53,-0.44
218,3,-0.45,-0.39
218,4,-0.57,-0.38
218,5,-0.85,-0.52
218,6,-1.02,-0.55
219,1,0,0
219,2,-0.76,-0.3
219,3,0.11,-0.25
219,4,-0.87,-0.6
219,5,-0.79,-0.45
219,6,-0.89,-0.91
220,1,0,0
220,2,-0.69,-0.65
220,3,-0.71,-0.68
220,4,-0.8,-0.93
220,5,-1.19,-0.87
220,6,-1.56,-0.53
221,1,0,0
221,2,-0.75,-0.34
221,3,-0.92,-0.64
221,4,-0.95,-1.14
221,5,-0.86,-1.23
221,6,-1.17,-0.86
222,1,0,0
222,2,-0.16,-0.4
222,3,0.39,-0.46
222,4,-0.73,-0.62
222,5,-0.54,-0.63
222,6,-0.49,-0.56
223,1,0,0
223,2,-0.07,-0.07
223,3,-0.19,0.37
223,4,0.4,1.23
223,5,1.01,-0.06
223,6,1.77,0.88
224,1,0,0
224,2,1.01,0.41
224,3,-0.78,-0.66
224,4,-1.23,-0.78
224,5,-0.64,-0.56
224,6,-0.34,-0.31
225,1,0,0
225,2,0.65,-0.43
225,3,-0.17,-0.36
225,4,-0.93,-0.35
225,5,-0.6,-0.46
225,6,-0.87,-0.46
226,1,0,0
226,2,1.18,-0.51
226,3,-0.54,-0.55
226,4,4.9,-0.17
226,5,8.05,0.88
226,6,8.07,3.94
227,1,-0.71,0
227,2,-0.69,-0.44
227,3,-0.62,-0.25
227,4,-0.74,-0.56
227,5,-0.7,-0.48
227,6,-0.7,-0.37
228,1,0,0
228,2,2.16,3.59
228,3,0.15,-0.22
228,4,0.67,-0.24
228,5,1.17,0.08
228,6,1.92,3.0
229,1,0,0
229,2,-0.55,-0.27
229,3,0.94,1.18
229,4,1.57,0.66
229,5,0.63,0.47
229,6,0.86,1.63
230,1,0,0
230,2,-1.0,0
230,3,-1.03,26.0
230,4,-1.02,0.5
230,5,-0.99,0.9
230,6,-0.94,2.76
231,1,0,0
231,2,-0.02,-0.34
231,3,-0.03,-0.39
231,4,0.98,-0.34
231,5,3.45,-0.18
231,6,0.2,-0.33
232,1,0,0
232,2,0,-0.45
232,3,-0.62,-1.18
232,4,0.39,-0.38
232,5,-0.74,-0.35
232,6,-0.84,-0.41
233,1,0,0
233,2,-1.53,-0.46
233,3,-13.17,-0.61
233,4,-0.86,-0.48
233,5,0.01,-0.4
233,6,1.69,-0.4
234,1,0,0
234,2,2.78,0.13
234,3,-0.2,-0.03
234,4,8.88,5.56
234,5,1.98,1.47
234,6,1.63,0.87
235,1,0,0
235,2,0,0
235,3,0,0
235,4,0,0
235,5,0,0
235,6,0,0
236,1,0,0
236,2,-0.48,-0.27
236,3,-0.6,-0.28
236,4,-0.67,-0.41
236,5,-0.29,-0.16
236,6,-0.33,-0.23
237,1,0,0
237,2,-0.64,-0.49
237,3,-0.81,-0.48
237,4,-0.78,-0.43
237,5,-0.75,-0.59
237,6,-0.75,-0.66
238,1,0,0
238,2,0.14,-0.07
238,3,-0.21,-0.16
238,4,-0.22,-0.05
238,5,-1.21,-0.47
238,6,-1.45,-0.34
239,1,0,0
